Institute_Name,Tier
"Maharana Pratap University of Agriculture and Technology, Udaipur",Tier 2
Maharashtra Animal & Fishery Sciences University (MAFSU),Tier 2
"Maharashtra University of Health Sciences (MUHS), Nahsik",Tier 2
"Maharishi Markandeshwar University, Sadopur-Ambala (MMU Sadopur)",Tier 2
"Maharshi Dayanand Saraswati University, Ajmer",Tier 2
"Maharshi Dayanand University (M.D. University), Rohtak",Tier 2
"Mahatma Gandhi Central University (MGCU), Patna",Tier 2
Mahatma Gandhi Kashi Vidyapeeth (also known as Mahatma Gandhi Kashi Vidyapith),Tier 2
"Mahatma Gandhi University, Nalgonda",Tier 2
"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",Tier 2
Manav Bharti University,Tier 2
Manonmaniam Sundaranar University,Tier 2
"Maulana Abul Kalam Azad University of Technology, West Bengal",Tier 2
MGM Institute of Health Sciences,Tier 2
Mohanlal Sukhadia University,Tier 2
"Motilal Nehru National Institutie of Technology, Allahabad",Tier 2
"Mother Teresa Women's University, Kodaikanal",Tier 2
Nagaland University,Tier 2
National Dairy Research Institute (NDRI),Tier 2
National Institute of Fashion Technology (NIFT),Tier 2
"National Law Institute University, Bhopal",Tier 2
"National Law University, Jodhpur",Tier 2
"National Museum Institute of History of Art, Conservation and Museology (NMIHACM)",Tier 2
National Brain Research Centre,Tier 2
National Institute of Foundry and Forge Technology,Tier 2
National Institute of Mental Health and Neuro Sciences,Tier 2
National Institute of Pharmaceutical Education and Research,Tier 2
"National Institute of Technical Teachers' Training and Research, Bhopal",Tier 2
"National Institute of Technical Teachers' Training and Research, Chandigarh",Tier 2
"National Institute of Technical Teachers' Training and Research, Chennai",Tier 2
"National Institute of Technical Teachers' Training and Research,Kolkata",Tier 2
National Institute of Technology Agartala (NITA),Tier 2
"National Institute of Technology, Aizawal",Tier 2
National Institute of Technology Andhra Pradesh,Tier 2
"National Institute of Technology, Arunachal Pradesh",Tier 2
"National Institute of Technology, Calicut (NITC)",Tier 2
National Institute of Technology Delhi (NITD),Tier 2
"National Institute of Technology, Dimapur",Tier 2
"National Institute of Technology, Durgapur (NITDGP)",Tier 2
National Institute of Technology Goa (NITG),Tier 2
"National Institute of Technology, Hamirpur (NITH)",Tier 2
"National Institute of Technology, Imphal",Tier 2
"National Institute of Technology, Jamshedpur (NITJSR)",Tier 2
"National Institute of Technology, Kurukshetra ( NITKKR)",Tier 2
"National Institute of Technology, Mindi",Tier 2
"National Institute of Technology, Papum Pare",Tier 2
National Institute of Technology Patna (NITP),Tier 2
"National Institute of Technology, Puducherry (NITPY)",Tier 2
"National Institute of Technology, Raipur (NITRR)",Tier 2
"National Institute of Technology, Ravangla",Tier 2
"National Institute of Technology, Shillong",Tier 2
"National Institute of Technology, Silchar (NITS)",Tier 2
"National Institute of Technology, Srinagar (NITSRI)",Tier 2
"National Institute of Technology, Surathkal",Tier 2
"National Institute of Technology, Tiruchirappalli (NITT)",Tier 2
"National Institute of Technology, Warangal",Tier 2
Navsari Agricultural University,Tier 2
Nizam's Institute of Medical Sciences (NIMS),Tier 2
Orissa University of Agriculture and Technology (OUAT),Tier 2
"Pandit Dwarka Prasad Mishra Indian Institutie of Information Technology, Design and manufacturingTier 2",
Panjab University (PU),Tier 2
Postgraduate Institute of Medical Education and Research (PGIMER),Tier 2
Punjab Agricultural University (PAU),Tier 2
Punjabi University,Tier 2
Patna University,Tier 2
Periyar Maniammai Institute of Science and Technology,Tier 2
Ponnaiyah Ramajayam Institute of Science and Technology (PRIST),Tier 2
"Punjab Engineering College (Deemed To Be University), Chandigarh",Tier 2
"Rajasthan Agricultural University, Bikaner",Tier 2
Rajiv Gandhi National Aviation University (RGNAU),Tier 2
"Rajiv Gandhi University of Health Sciences, Karnataka (RGUHS)",Tier 2
Rajiv Gandhi University (RGU),Tier 2
Ranchi University (RU),Tier 2
Rani Durgavati Vishwavidyalaya,Tier 2
Rani Lakshmi Bai Central Agricultural University,Tier 2
"Rashtriya Sanskrit Sansthana, New Delhi",Tier 2
"Sam Higginbottom University of Agriculture, Technology and Sciences (SHUATS)",Tier 2
Sampurnanand Sanskrit Vishwavidyalaya,Tier 2
Sardar Vallabhbhai National Institute of Technology (SVNIT) Surat,Tier 2
Saurashtra University,Tier 2
"School of Planning and Architecture, Bhopal (SPAB)",Tier 2
School of Planning and Architecture Delhi (SPA New Delhi),Tier 2
"School of Planning and Architecture, Vijayawada (SPA Vijayawada)",Tier 2
Sree Sankaracharya University of Sanskrit (SSUS),Tier 2
Sri Sathya Sai Institute of Higher Learning,Tier 2
Swami Ramanand Teerth Marathwada University (SRTMU),Tier 2
Sanjay Gandhi Postgraduate Institute of Medical Sciences,Tier 2
Sant Longowal Institute of Engineering and Technology (SLIET),Tier 2
"Santosh University, Ghaziabad",Tier 2
Sardarkrushinagar Dantiwada Agricultural University (SDAU),Tier 2
Sharda University,Tier 2
"Shoolini University of Biotechnology and Management Sciences, Solan",Tier 2
Shri Jagannath Sanskrit Vishvavidyalaya,Tier 2
Sikkim Manipal University,Tier 2
Sikkim University,Tier 2
Solapur University,Tier 2
S.P. Jain Institute of Management and Research,Tier 2
Sri Devaraj Urs Academy of Higher Education and Research,Tier 2
Sri Krishnadevaraya University,Tier 2
Sri Venkateswara Institute of Medical Sciences (SVIMS),Tier 2
"SRM University (SRM Institute of Science and Technology), Kattankulathur",Tier 2
St. Peter's Institute of Higher Education and Research,Tier 2
"Tamil Nadu Agricultural University (TNAU), Coimbatore",Tier 2
Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU),Tier 2
Tamil Nadu Physical Education and Sports University (TNPESU),Tier 2
Tamil Nadu Veterinary and Animal Sciences University (TANUVAS),Tier 2
Tamil University,Tier 2
"TERI School of Advanced Studies, New Delhi",Tier 2
Tilak Maharashtra Vidyapeeth (TMV),Tier 2
Teerthanker Mahaveer University,Tier 2
Telangana University,Tier 2
The NorthCap University (NCU),Tier 2
The West Bengal National University of Juridical Sciences (WBNUJS or NUJS),Tier 2
T.M University,Tier 2
"Tripura University (TU), Tripura",Tier 2
Tumkur University,Tier 2
"U.P King George's University of Dental Science, Lucknow",Tier 2
"University of Agricultural Sciences (UAS), Bangalore",Tier 2
University of Allahabad,Tier 2
University of Gour Banga (UGB),Tier 2
University of Kota,Tier 2
University of Lucknow,Tier 2
University of Petroleum and Energy Studies (UPES),Tier 2
Veer Bahadur Singh Purvanchal University,Tier 2
Veer Surendra Sai University of Technology (VSSUT),Tier 2
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",Tier 2
Vidyasagar University,Tier 2
"Vinoba Bhave University, Hazaribag",Tier 2
Visva Bharati,Tier 2
"Visvesvaraya National Institute of Technology, Nagpur",Tier 2
"Visvesvaraya Technological University (VTU), Belagavi",Tier 2
West Bengal University of Animal and Fishery Sciences,Tier 2
Yogi Vemana University (YVU),Tier 2
Abhilashi University,Tier 3
Adamas University,Tier 3
Adesh University,Tier 3
Adikavi Nannaya University,Tier 3
Ahmedabad University,Tier 3
"AISECT University, Bhopal",Tier 3
"AISPECT University, Hazaribagh",Tier 3
Ajeenkya DY Patil University,Tier 3
Akal University (Guru Ki Kashi Akal University ),Tier 3
"AKS University (AKSU), Satna",Tier 3
Alak Prakash Goyal University,Tier 3
Al-Falah University,Tier 3
Aliah University,Tier 3
Allahabad State University,Tier 3
"Alliance University, Bangalore",Tier 3
"Amity University, Gwalior",Tier 3
"Amity University, Manesar",Tier 3
"Amity University, Mumbai",Tier 3
Amity University Patna,Tier 3
"Amity University, Rajarhat",Tier 3
"Amity University, Ranchi",Tier 3
"Amity University, Tehsil -Tilda",Tier 3
Anant National University,Tier 3
Apeejay Stya University (ASU),Tier 3
"Ansal University, Guraon",Tier 3
Apex Professional University (APU),Tier 3
APJ Abdul Kalam Technological University,Tier 3
Arka Jain University,Tier 3
Arni University,Tier 3
Arunachal University of Studies,Tier 3
Arunodaya University,Tier 3
Aryabhatta Knowledge University (AKU),Tier 3
Ashoka University,Tier 3
Assam Down Town University,Tier 3
Assam Rajiv Gandhi University of Co-operative Management (ARGUCOM),Tier 3
Assam Science and Technology University,Tier 3
Assam Women's University,Tier 3
"AURO University of Hospitality and Management, Surat",Tier 3
Avantika University,Tier 3
Azim Premji University,Tier 3
"Ayush and Health Sciences University of Chharrisgarh, Raipur",Tier 3
Baba Farid University of Health Sciences,Tier 3
Baba Ghulam Shah Badshah University,Tier 3
Baba Mastnath University (BMU),Tier 3
Babu Banarasi Das University,Tier 3
Baddi University of Emerging Sciences and Technology,Tier 3
Bahra University,Tier 3
Banda University of Agriculture and Technology (BUAT),Tier 3
Bankura University,Tier 3
Bareilly International University (BIU),Tier 3
Bastar Vishwavidyalaya (BVV),Tier 3
Bengaluru Central University,Tier 3
Bengaluru North University (BNU),Tier 3
Bennett University,Tier 3
Bhagat Phool Singh Mahila Vishwavidyalaya,Tier 3
Bhagwant Global University,Tier 3
Bhagwant University,Tier 3
Bhakta Kavi Narsinh Mehta University (BKNMU),Tier 3
Bhartiya Skill Development University,Tier 3
"Bhatkhande Music Institute, Lucknow",Tier 3
Bhupal Nobles University (BN University),Tier 3
Bhupendra Narayan Mandal University (B. N. Mandal University),Tier 3
Bihar Agricultural University,Tier 3
Bihar Yoga Bharati,Tier 3
Biju Patnaik University of Technology (BPUT),Tier 3
"Bilaspur Vishwavidyala, Bilaspur",Tier 3
Birla Global University (BGU),Tier 3
Birla Institute of Technology (BIT Mesra),Tier 3
BML Munjal University,Tier 3
Bodoland University,Tier 3
Brainware University,Tier 3
"Calorx Teacher's University, Ahmedabad",Tier 3
"Career Point University, Kota (CPU)",Tier 3
"Career Pont University, Hamripur",Tier 3
"Central Institute of Buddhist Studies, Ladakh",Tier 3
Centre for Enviromental Planning and Technology University,Tier 3
"Centurion University of Technology and Management, Visakhapatnam",Tier 3
Chanakya National Law University (CNLU),Tier 3
Chandigarh University (CU),Tier 3
"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur (CSAUA&T)",Tier 3
Chaudhary Bansi Lal University (CBLU),Tier 3
"Chaudhary Ranbir Singh University, Jind (CRSU)",Tier 3
"Chhattisgarh Kamdhenu Vishwasvidyalaya, Raipur",Tier 3
Chhattisgarh Swami Vivekanand Technical University (CSVTU),Tier 3
Children's University,Tier 3
Chinmaya Vishwavidyapeeth (CVV),Tier 3
"Chitkara University, Tehsil Rajpura",Tier 3
Cluster University of Jammu (CLUJ),Tier 3
Cluster University of Srinagar,Tier 3
CMR University (CMRU),Tier 3
Cooch Behar Panchanan Barma University (CBPBU),Tier 3
